,day,month,year,weekday,workingday,holiday,weathersit,temp,hum,windspeed,casual,registered,cnt
0,1,January,2018,Monday,0,1,2,14.110847,80.5833,10.749882,331,654,985
1,1,February,2018,Thursday,1,0,2,14.902598,69.6087,16.652113,131,670,801
2,1,March,2018,Thursday,1,0,1,8.050924,43.7273,16.636703,120,1229,1349
3,1,April,2018,Sunday,0,0,1,8.2,59.0435,10.739832,108,1454,1562
4,1,May,2018,Tuesday,1,0,1,9.305237,43.6957,12.5223,82,1518,1600
5,1,June,2018,Friday,1,0,1,8.378268,51.8261,6.0008684,88,1518,1606
6,1,July,2018,Sunday,0,0,2,8.057402,49.8696,11.304642,148,1362,1510
7,1,August,2018,Wednesday,1,0,2,6.765,53.5833,17.875868,68,891,959
8,1,September,2018,Saturday,0,0,1,5.671653,43.4167,24.25065,54,768,822
9,1,October,2018,Monday,1,0,1,6.184153,48.2917,14.958889,41,1280,1321
10,1,November,2018,Thursday,1,0,2,6.932731,68.6364,8.182844,43,1220,1263
11,1,December,2018,Saturday,0,0,1,7.081807,59.9545,20.410009,25,1137,1162
12,13,January,2018,Saturday,0,0,1,6.765,47.0417,20.167,38,1368,1406
13,14,January,2018,Sunday,0,0,1,6.59567,53.7826,8.478716,54,1367,1421
14,15,January,2018,Monday,0,1,2,9.566653,49.875,10.583521,222,1026,1248
15,16,January,2018,Tuesday,1,0,1,9.498347,48.375,12.625011,251,953,1204
16,17,January,2018,Wednesday,1,0,2,7.209153,53.75,12.999139,117,883,1000
17,18,January,2018,Thursday,1,0,2,8.883347,86.1667,9.833925,9,674,683
18,19,January,2018,Friday,1,0,2,11.979134,74.1739,13.957239,78,1572,1650
19,20,January,2018,Saturday,0,0,2,10.728347,53.8333,13.125568,83,1844,1927
20,21,January,2018,Sunday,0,0,1,7.2775,45.7083,23.667214,75,1468,1543
21,22,January,2018,Monday,1,0,1,2.4243464,40.0,11.52199,93,888,981
22,23,January,2018,Tuesday,1,0,1,3.9573897,43.6522,16.5222,150,836,986
23,24,January,2018,Wednesday,1,0,1,3.9930433,49.1739,10.60811,86,1330,1416
24,25,January,2018,Thursday,1,0,2,9.162598,61.6957,8.696332,186,1799,1985
25,26,January,2018,Friday,1,0,3,8.9175,86.25,19.68795,34,472,506
26,27,January,2018,Saturday,0,0,1,7.995,68.75,7.627079,15,416,431
27,28,January,2018,Sunday,0,0,2,8.342598,79.3043,8.2611,38,1129,1167
28,29,January,2018,Monday,1,0,1,8.057402,65.1739,9.739455,123,975,1098
29,30,January,2018,Tuesday,1,0,1,8.877402,72.2174,4.9568342,140,956,1096
30,31,January,2018,Wednesday,1,0,2,7.414153,60.375,12.541864,42,1459,1501
31,2,January,2018,Tuesday,1,0,2,7.879134,82.9565,3.565271,47,1313,1360
32,2,February,2018,Friday,1,0,2,10.66,77.5417,17.708636,72,1454,1526
33,2,March,2018,Friday,1,0,1,7.665237,43.7826,18.609384,61,1489,1550
34,2,April,2018,Monday,1,0,2,8.663464,58.5217,8.565213,88,1620,1708
35,2,May,2018,Wednesday,1,0,2,9.566653,92.9167,10.792293,100,905,1005
36,2,June,2018,Saturday,0,0,1,11.719153,56.8333,9.5006,354,1269,1623
37,2,July,2018,Monday,1,0,1,11.138347,73.8333,3.0423561,120,1592,1712
38,2,August,2018,Thursday,1,0,1,9.054153,53.7917,24.25065,64,1466,1530
39,2,September,2018,Sunday,0,0,2,5.526103,49.4783,12.652213,53,1552,1605
40,2,October,2018,Tuesday,1,0,1,5.918268,43.7391,14.869645,47,1491,1538
41,2,November,2018,Friday,1,0,1,7.752731,50.6364,7.27285,149,1597,1746
42,2,December,2018,Sunday,0,0,1,9.1225,54.4167,13.625589,288,1184,1472
43,13,February,2018,Tuesday,1,0,1,12.977402,45.7391,17.479161,397,1192,1589
44,14,February,2018,Wednesday,1,0,1,17.015,37.5833,27.999836,208,1705,1913
45,15,February,2018,Thursday,1,0,1,10.909567,31.4348,19.522058,140,1675,1815
46,16,February,2018,Friday,1,0,1,13.048701,42.3478,16.869997,218,1897,2115
47,17,February,2018,Saturday,0,0,1,17.869153,50.5,15.416968,259,2216,2475
48,18,February,2018,Sunday,0,0,1,21.388347,51.6667,17.749975,579,2348,2927
49,19,February,2018,Monday,0,1,1,16.365847,18.7917,34.000021,532,1103,1635
50,20,February,2018,Tuesday,1,0,1,11.693897,40.7826,14.956745,639,1173,1812
51,21,February,2018,Wednesday,1,0,2,12.436653,60.5,20.625682,195,912,1107
52,22,February,2018,Thursday,1,0,1,7.471102,57.7778,13.110761,74,1376,1450
53,23,February,2018,Friday,1,0,1,9.091299,42.3043,6.305571,139,1778,1917
54,24,February,2018,Saturday,0,0,2,12.121732,69.7391,16.783232,100,1707,1807
55,25,February,2018,Sunday,0,0,2,14.938268,71.2174,23.218113,120,1341,1461
56,26,February,2018,Monday,1,0,1,11.5825,53.7917,12.500257,424,1545,1969
57,27,February,2018,Tuesday,1,0,1,14.082598,68.0,8.391616,694,1708,2402
58,28,February,2018,Wednesday,1,0,2,16.698193,87.6364,19.408962,81,1365,1446
59,3,January,2018,Wednesday,1,0,1,10.933347,53.5,14.500475,137,1714,1851
60,3,February,2018,Saturday,0,0,1,13.735,44.9583,20.624811,231,1903,2134
61,3,March,2018,Saturday,0,0,1,8.131653,31.8333,15.125518,123,1562,1685
62,3,April,2018,Tuesday,1,0,2,10.728347,61.0417,13.624182,214,1730,1944
63,3,May,2018,Thursday,1,0,2,15.750847,78.9167,16.875357,640,1437,2077
64,3,June,2018,Sunday,0,0,2,15.437402,94.8261,23.000229,114,491,605
65,3,July,2018,Tuesday,1,0,1,10.731299,55.1304,22.870584,244,1628,1872
66,3,August,2018,Friday,1,0,1,11.9925,42.0833,8.08355,316,1817,2133
67,3,September,2018,Monday,1,0,2,12.129153,77.5417,14.75005,191,1700,1891
68,3,October,2018,Wednesday,1,0,3,15.952731,0.0,17.545759,46,577,623
69,3,November,2018,Saturday,0,0,2,12.977402,64.9565,15.60899,247,1730,1977
70,3,December,2018,Monday,1,0,1,13.495847,59.4583,14.791925,724,1408,2132
71,13,March,2018,Tuesday,1,0,1,15.758268,52.7391,18.130468,982,1435,2417
72,14,March,2018,Wednesday,1,0,1,13.333897,49.6957,9.174042,359,1687,2046
73,15,March,2018,Thursday,1,0,2,13.013031,65.5652,12.348703,289,1767,2056
74,16,March,2018,Friday,1,0,2,14.973897,77.6522,13.608839,321,1871,2192
75,17,March,2018,Saturday,0,0,1,17.015,60.2917,14.041793,424,2320,2744
76,18,March,2018,Sunday,0,0,1,22.14,52.5217,15.478139,884,2355,3239
77,19,March,2018,Monday,1,0,1,19.3725,37.9167,24.667189,1424,1693,3117
78,20,March,2018,Tuesday,1,0,1,13.6325,47.375,13.917307,1047,1424,2471
79,21,March,2018,Wednesday,1,0,2,17.647835,73.7391,19.348461,401,1676,2077
80,22,March,2018,Thursday,1,0,1,18.108347,62.4583,15.12525,460,2243,2703
81,23,March,2018,Friday,1,0,2,14.225237,83.9565,15.695487,203,1918,2121
82,24,March,2018,Saturday,0,0,2,11.685,80.5833,16.333729,166,1699,1865
83,25,March,2018,Sunday,0,0,1,10.830847,49.5,15.458575,300,1910,2210
84,26,March,2018,Monday,1,0,1,10.899153,39.4167,14.041257,981,1515,2496
85,27,March,2018,Tuesday,1,0,2,10.374763,49.3913,12.3481,472,1221,1693
86,28,March,2018,Wednesday,1,0,1,10.838268,30.2174,14.217668,222,1806,2028
87,29,March,2018,Thursday,1,0,1,12.4025,31.4167,15.208732,317,2108,2425
88,30,March,2018,Friday,1,0,2,12.3,64.6667,11.583496,168,1368,1536
89,31,March,2018,Saturday,0,0,3,11.001653,91.8333,14.582282,179,1506,1685
90,4,January,2018,Thursday,1,0,2,12.3,68.625,17.333436,307,1920,2227
91,4,February,2018,Sunday,0,0,2,12.915,65.375,13.208782,898,1354,2252
92,4,March,2018,Sunday,0,0,1,15.511653,48.0,12.208271,1651,1598,3249
93,4,April,2018,Wednesday,1,0,1,23.506653,42.625,25.833257,734,2381,3115
94,4,May,2018,Friday,1,0,2,16.980847,64.2083,26.000489,167,1628,1795
95,4,June,2018,Monday,1,0,1,16.024153,47.0833,17.625221,413,2395,2808
96,4,July,2018,Wednesday,1,0,1,17.9375,60.2917,10.874904,571,2570,3141
97,4,August,2018,Saturday,0,0,2,13.769153,83.625,15.208464,172,1299,1471
98,4,September,2018,Tuesday,1,0,2,14.0425,87.75,8.916561,879,1576,2455
99,4,October,2018,Thursday,1,0,2,17.493347,85.75,9.833389,1188,1707,2895
100,4,November,2018,Sunday,0,0,2,24.421732,71.6956,21.739758,855,2493,3348
101,4,December,2018,Tuesday,1,0,2,20.6025,73.9167,18.416893,257,1777,2034
102,13,April,2018,Friday,1,0,2,16.9125,81.9167,16.791339,209,1953,2162
103,14,April,2018,Saturday,0,0,1,19.1675,54.0417,7.4169,529,2738,3267
104,15,April,2018,Sunday,0,0,1,18.313347,67.125,15.167125,642,2484,3126
105,16,April,2018,Monday,0,1,3,17.664153,88.8333,22.834136,121,674,795
106,17,April,2018,Tuesday,1,0,1,18.723347,47.9583,20.334232,1558,2186,3744
107,18,April,2018,Wednesday,1,0,1,21.0125,54.25,10.958989,669,2760,3429
108,19,April,2018,Thursday,1,0,2,20.739153,66.5833,10.584057,409,2795,3204
109,20,April,2018,Friday,1,0,1,24.395,61.4167,16.208975,613,3331,3944
110,21,April,2018,Saturday,0,0,1,18.825847,40.7083,21.792286,745,3444,4189
111,22,April,2018,Sunday,0,0,2,13.803347,72.9583,14.707907,177,1506,1683
112,23,April,2018,Monday,1,0,2,18.86,88.7917,15.458575,1462,2574,4036
113,24,April,2018,Tuesday,1,0,2,23.848347,81.0833,12.875725,1710,2481,4191
114,25,April,2018,Wednesday,1,0,1,24.873347,77.6667,12.417311,773,3300,4073
115,26,April,2018,Thursday,1,0,1,25.898347,72.9167,21.8755,678,3722,4400
116,27,April,2018,Friday,1,0,2,25.42,83.5417,20.9174,547,3325,3872
117,28,April,2018,Saturday,0,0,2,25.3175,70.0833,21.500836,569,3489,4058
118,29,April,2018,Sunday,0,0,1,20.91,45.7083,16.084221,878,3717,4595
119,30,April,2018,Monday,1,0,1,19.3725,50.3333,15.750025,1965,3347,5312
120,5,January,2018,Friday,1,0,2,18.518347,76.2083,7.125718,1138,2213,3351
121,5,February,2018,Monday,1,0,2,22.515847,73.0,12.291418,847,3554,4401
122,5,March,2018,Monday,1,0,2,25.283347,69.7083,22.958689,603,3848,4451
123,5,April,2018,Thursday,1,0,2,16.980847,73.7083,22.042732,255,2378,2633
124,5,May,2018,Saturday,0,0,1,18.825847,44.4167,19.791264,614,3819,4433
125,5,June,2018,Tuesday,1,0,1,19.645847,59.0,15.292482,894,3714,4608
126,5,July,2018,Thursday,1,0,1,21.32,54.125,10.75015,1612,3102,4714
127,5,August,2018,Sunday,0,0,1,21.661653,63.1667,5.0007125,1401,2932,4333
128,5,September,2018,Wednesday,1,0,1,21.8325,58.875,11.792,664,3698,4362
129,5,October,2018,Friday,1,0,1,21.8325,48.9167,7.749957,694,4109,4803
130,5,November,2018,Monday,1,0,1,22.2425,63.2917,8.083014,550,3632,4182
131,5,December,2018,Wednesday,1,0,1,21.935,74.75,12.707689,695,4169,4864
132,13,May,2018,Sunday,0,0,2,21.0125,86.3333,12.041575,692,3413,4105
133,14,May,2018,Monday,1,0,2,21.354153,92.25,9.04165,902,2507,3409
134,15,May,2018,Tuesday,1,0,2,23.0625,86.7083,10.249593,1582,2971,4553
135,16,May,2018,Wednesday,1,0,1,23.6775,78.7917,8.500357,773,3185,3958
136,17,May,2018,Thursday,1,0,2,23.028347,83.7917,18.582718,678,3445,4123
137,18,May,2018,Friday,1,0,2,22.55,87.0,13.499964,536,3319,3855
138,19,May,2018,Saturday,0,0,2,21.764153,82.9583,7.250271,735,3840,4575
139,20,May,2018,Sunday,0,0,1,22.003347,71.9583,8.375871,909,4008,4917
140,21,May,2018,Monday,1,0,1,24.7025,62.6667,8.08355,2258,3547,5805
141,22,May,2018,Tuesday,1,0,1,24.770847,74.9583,9.916536,1576,3084,4660
142,23,May,2018,Wednesday,1,0,2,25.898347,81.0,15.667414,836,3438,4274
143,24,May,2018,Thursday,1,0,2,27.06,74.0833,13.875164,659,3833,4492
144,25,May,2018,Friday,1,0,1,27.094153,69.625,10.333611,740,4238,4978
145,26,May,2018,Saturday,0,0,1,29.041653,67.75,13.376014,758,3919,4677
146,27,May,2018,Sunday,0,0,1,27.948347,65.375,16.125493,871,3808,4679
147,28,May,2018,Monday,0,1,1,26.889153,72.9583,15.416164,2001,2757,4758
148,29,May,2018,Tuesday,1,0,1,27.3675,81.875,14.333846,2355,2433,4788
149,30,May,2018,Wednesday,1,0,1,30.066653,68.5,8.792075,1549,2549,4098
150,31,May,2018,Thursday,1,0,1,31.775,63.6667,7.459043,673,3309,3982
151,6,January,2018,Saturday,0,0,2,31.330847,67.7083,13.875164,513,3461,3974
152,6,February,2018,Tuesday,1,0,1,29.315,30.5,19.583229,736,4232,4968
153,6,March,2018,Tuesday,1,0,1,25.42,35.4167,16.959107,898,4414,5312
154,6,April,2018,Friday,1,0,1,26.035,45.625,8.250514,1869,3473,5342
155,6,May,2018,Sunday,0,0,2,26.581653,65.25,9.292364,1685,3221,4906
156,6,June,2018,Wednesday,1,0,1,27.811653,60.0,8.167032,673,3875,4548
157,6,July,2018,Friday,1,0,1,29.0075,59.7917,12.583136,763,4070,4833
158,6,August,2018,Monday,1,0,1,31.809153,62.2083,9.166739,676,3725,4401
159,6,September,2018,Thursday,1,0,2,33.141653,56.8333,10.042161,563,3352,3915
160,6,October,2018,Saturday,0,0,1,30.955,60.5,9.417118,815,3771,4586
161,6,November,2018,Tuesday,1,0,1,29.725,65.4583,10.37495,1729,3237,4966
162,6,December,2018,Thursday,1,0,1,28.3925,74.7917,10.958989,1467,2993,4460
163,13,June,2018,Wednesday,1,0,1,26.035,49.4583,20.45845,863,4157,5020
164,14,June,2018,Thursday,1,0,1,24.770847,50.7083,18.041961,727,4164,4891
165,15,June,2018,Friday,1,0,1,25.693347,47.1667,11.250104,769,4411,5180
166,16,June,2018,Saturday,0,0,2,25.761653,68.8333,13.833557,545,3222,3767
167,17,June,2018,Sunday,0,0,1,26.615847,73.5833,9.582943,863,3981,4844
168,18,June,2018,Monday,1,0,1,28.563347,67.0417,8.000336,1807,3312,5119
169,19,June,2018,Tuesday,1,0,2,28.665847,66.6667,6.834,1639,3105,4744
170,20,June,2018,Wednesday,1,0,2,26.035,74.625,10.416825,699,3311,4010
171,21,June,2018,Thursday,1,0,2,27.914153,77.0417,11.458675,774,4061,4835
172,22,June,2018,Friday,1,0,1,30.066653,70.75,11.541554,661,3846,4507
173,23,June,2018,Saturday,0,0,2,29.861653,70.3333,15.999868,746,4044,4790
174,24,June,2018,Sunday,0,0,1,29.690847,57.3333,14.875675,969,4022,4991
175,25,June,2018,Monday,1,0,1,28.495,48.3333,14.041257,1782,3420,5202
176,26,June,2018,Tuesday,1,0,1,27.88,51.3333,6.3337311,1920,3385,5305
177,27,June,2018,Wednesday,1,0,2,27.9825,65.8333,7.208396,854,3854,4708
178,28,June,2018,Thursday,1,0,1,30.510847,63.4167,9.666961,732,3916,4648
179,29,June,2018,Friday,1,0,1,29.861653,49.7917,17.542007,848,4377,5225
180,30,June,2018,Saturday,0,0,1,28.563347,43.4167,12.415904,1027,4488,5515
181,7,January,2018,Sunday,0,0,1,29.6225,39.625,6.874736,1246,4116,5362
182,7,February,2018,Wednesday,1,0,1,30.271653,44.4583,7.709154,2204,2915,5119
183,7,March,2018,Wednesday,1,0,2,29.383347,68.25,15.333486,2282,2367,4649
184,7,April,2018,Saturday,0,1,2,29.793347,63.7917,5.4591064,3065,2978,6043
185,7,May,2018,Monday,1,0,1,30.613347,59.0417,8.459286,1031,3634,4665
186,7,June,2018,Thursday,1,0,1,29.52,74.3333,10.042161,784,3845,4629
187,7,July,2018,Saturday,0,0,1,30.75,65.125,10.6664,754,3838,4592
188,7,August,2018,Tuesday,1,0,2,29.075847,75.7917,15.083643,692,3348,4040
189,7,September,2018,Friday,1,0,1,30.066653,60.9167,11.250104,1988,3348,5336
190,7,October,2018,Sunday,0,0,1,30.6475,57.8333,12.292557,1743,3138,4881
191,7,November,2018,Wednesday,1,0,1,31.2625,63.5833,18.916579,723,3363,4086
192,7,December,2018,Friday,1,0,1,32.560847,55.9167,13.417018,662,3596,4258
193,13,July,2018,Friday,1,0,1,30.613347,63.1667,9.790911,748,3594,4342
194,14,July,2018,Saturday,0,0,1,27.914153,47.625,16.124689,888,4196,5084
195,15,July,2018,Sunday,0,0,1,27.196653,59.125,12.249811,1318,4220,5538
196,16,July,2018,Monday,1,0,1,28.153347,58.5,13.958914,2418,3505,5923
197,17,July,2018,Tuesday,1,0,1,29.485847,60.4167,16.417211,2006,3296,5302
198,18,July,2018,Wednesday,1,0,1,30.613347,65.125,14.458868,841,3617,4458
199,19,July,2018,Thursday,1,0,1,31.843347,65.0417,8.7502,752,3789,4541
200,20,July,2018,Friday,1,0,1,31.501653,70.7083,7.625739,644,3688,4332
201,21,July,2018,Saturday,0,0,2,33.415,69.125,14.875407,632,3152,3784
202,22,July,2018,Sunday,0,0,1,34.781653,58.0417,8.9177,562,2825,3387
203,23,July,2018,Monday,1,0,1,34.815847,50.0,8.791807,987,2298,3285
204,24,July,2018,Tuesday,1,0,1,34.03,55.0833,11.334457,1050,2556,3606
205,25,July,2018,Wednesday,1,0,1,30.476653,75.7083,6.0841561,568,3272,3840
206,26,July,2018,Thursday,1,0,1,31.638347,54.0833,13.417286,750,3840,4590
207,27,July,2018,Friday,1,0,1,31.775,40.2917,12.292021,755,3901,4656
208,28,July,2018,Saturday,0,0,1,31.945847,58.3333,11.958093,606,3784,4390
209,29,July,2018,Sunday,0,0,1,34.371653,54.25,11.667246,670,3176,3846
210,30,July,2018,Monday,1,0,1,32.970847,46.5833,11.291979,1559,2916,4475
211,31,July,2018,Tuesday,1,0,1,33.039153,48.0833,11.042471,1524,2778,4302
212,8,January,2018,Monday,1,0,1,31.638347,55.0833,10.500039,729,3537,4266
213,8,February,2018,Thursday,1,0,1,32.116653,49.125,13.79195,801,4044,4845
214,8,March,2018,Thursday,1,0,2,29.998347,65.75,9.084061,467,3107,3574
215,8,April,2018,Sunday,0,0,2,29.11,75.75,13.20905,799,3777,4576
216,8,May,2018,Tuesday,1,0,1,29.144153,63.0833,12.374632,1023,3843,4866
217,8,June,2018,Friday,1,0,2,29.383347,75.5,15.29275,1521,2773,4294
218,8,July,2018,Sunday,0,0,1,30.4425,75.2917,13.499629,1298,2487,3785
219,8,August,2018,Wednesday,1,0,1,31.365,59.2083,12.875725,846,3480,4326
220,8,September,2018,Saturday,0,0,1,31.775,57.0417,10.125107,907,3695,4602
221,8,October,2018,Monday,1,0,1,31.433347,42.4167,13.417286,884,3896,4780
222,8,November,2018,Thursday,1,0,1,29.4175,42.375,11.041332,812,3980,4792
223,8,December,2018,Saturday,0,0,1,29.041653,41.5,8.416607,1051,3854,4905
224,13,August,2018,Monday,1,0,2,28.119153,72.9583,14.167418,1504,2646,4150
225,14,August,2018,Tuesday,1,0,2,27.743347,81.75,14.916411,1338,2482,3820
226,15,August,2018,Wednesday,1,0,1,27.299153,71.2083,13.999918,775,3563,4338
227,16,August,2018,Thursday,1,0,1,28.734153,57.8333,15.834043,721,4004,4725
228,17,August,2018,Friday,1,0,1,29.656653,57.5417,9.625689,668,4026,4694
229,18,August,2018,Saturday,0,0,1,29.178347,65.4583,15.624936,639,3166,3805
230,19,August,2018,Sunday,0,0,2,28.085,72.2917,9.333636,797,3356,4153
231,20,August,2018,Monday,1,0,1,28.5975,67.4167,6.999289,1914,3277,5191
232,21,August,2018,Tuesday,1,0,1,29.144153,77.0,16.666518,1249,2624,3873
233,22,August,2018,Wednesday,1,0,1,28.358347,47.0,18.54225,833,3925,4758
234,23,August,2018,Thursday,1,0,1,26.274153,45.5417,9.833121,1281,4614,5895
235,24,August,2018,Friday,1,0,1,27.606653,60.5,16.958236,949,4181,5130
236,25,August,2018,Saturday,0,0,2,28.050847,77.1667,14.125811,435,3107,3542
237,26,August,2018,Sunday,0,0,1,28.7,76.125,5.6254875,768,3893,4661
238,27,August,2018,Monday,1,0,2,27.88,85.0,25.166339,226,889,1115
239,28,August,2018,Tuesday,1,0,1,28.989419,56.1765,20.412153,1415,2919,4334
240,29,August,2018,Wednesday,1,0,1,26.103347,55.4583,10.708275,729,3905,4634
241,30,August,2018,Thursday,1,0,1,26.205847,54.8333,8.375536,775,4429,5204
242,31,August,2018,Friday,1,0,1,26.923347,59.7917,5.5833311,688,4370,5058
243,9,January,2018,Tuesday,1,0,1,26.855,63.9167,9.500332,783,4332,5115
244,9,February,2018,Friday,1,0,2,26.376653,72.7083,9.375243,875,3852,4727
245,9,March,2018,Friday,0,1,1,27.435847,71.6667,12.416775,1935,2549,4484
